bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
jacksondatabind_77,2,0,0,0,0,9,0,7,2,5,0,0,5,0,8
jacksondatabind_78,3,2,0,0,0,10,0,4,1,4,0,0,4,0,8
jacksondatabind_79,8,0,1,0,0,7,0,3,2,6,0,1,1,0,9
jacksondatabind_8,9,0,0,0,0,8,0,4,6,5,0,0,0,0,8
jacksondatabind_80,7,0,0,0,0,17,0,3,8,10,0,1,10,0,10
jacksondatabind_81,10,1,0,0,0,19,0,8,4,11,0,0,7,0,14
jacksondatabind_87,2,0,0,0,0,7,0,1,0,8,0,0,3,0,7
jacksondatabind_90,2,0,0,0,0,7,0,1,6,5,0,2,1,0,8
jacksondatabind_94,2,0,0,0,0,7,0,1,4,5,0,0,3,0,8
jacksondatabind_95,3,0,0,0,0,8,0,0,5,5,0,0,0,0,8
jacksonxml_1,29,1,0,0,0,24,0,10,5,22,0,3,3,0,20
jacksonxml_2,6,0,0,2,0,16,0,0,8,8,0,2,2,0,9
jacksonxml_6,3,0,0,2,0,12,0,5,13,8,0,0,1,0,10
jsoup_11,21,0,1,0,0,10,0,3,3,16,0,0,0,0,22
jsoup_12,8,0,1,3,0,15,0,4,17,6,0,2,1,0,12
jsoup_14,16,0,1,0,0,11,0,4,5,10,0,0,2,0,13
jsoup_16,4,1,0,0,0,15,0,1,6,9,0,2,1,0,10
jsoup_18,2,0,0,0,0,4,0,0,4,5,0,0,2,0,8
jsoup_21,10,0,0,2,0,17,0,4,10,11,0,2,5,0,13
jsoup_22,5,0,0,0,0,9,0,4,5,8,0,0,0,0,14
jsoup_23,2,0,0,0,0,5,0,1,6,4,0,1,1,0,8
jsoup_28,27,0,0,5,0,33,0,12,6,12,0,2,0,0,16
jsoup_29,2,0,0,0,0,5,0,0,4,5,0,0,0,0,8
jsoup_3,19,2,0,0,0,14,0,6,3,10,0,0,2,0,9
jsoup_30,4,0,0,0,0,9,0,0,5,5,0,0,3,0,9
jsoup_31,13,0,2,0,0,15,0,5,6,7,0,0,1,0,10
